"Environment and Climate Change Canada"
"Monthly Values for January - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","2.9","0",NA,"10.5","0","-5.0","0","4.4","0",NA,"104.8","0",NA,"0.0","9","","",NA,"467.3","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","-1.7","29","-5.0","3.0","29","-6.0","29","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"39.3","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","-0.3","17","-3.8","10.0","11","-12.5","12","5.8","22",NA,"198.2","17",NA,"","9","","",NA,"256.1","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"10.6","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","3.9","0",NA,"10.4","0","-3.3","0","",,NA,"37.8","12",NA,"","6","",,NA,"435.6","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","3.4","0",NA,"11.0","0","-4.0","0","1.0","0",NA,"77.2","0",NA,"0.0","8","","",NA,"452.2","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","1.1","0",NA,"9.2","0","-6.1","0","",,NA,"59.8","16",NA,"","8","",,NA,"523.0","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","1",NA,"76.0","1",NA,"0.0","7","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"3.4","0","24.0","89.4","0","46.0","0.0","8","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","1.8","0",NA,"11.5","0","-10.2","0","",,NA,"106.8","0",NA,"0.0","10","",,NA,"503.5","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","3.2","0",NA,"11.5","0","-5.0","0","0.0","0",NA,"57.8","0",NA,"0.0","6","","",NA,"459.1","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","4.8","0",NA,"12.4","0","-1.9","0","",,NA,"",,NA,"","","",,NA,"409.9","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","2.9","0","-1.9","10.0","0","-5.0","0","0.0","0","0.0","59.0","0","41.0","0.0","6","","",NA,"466.9","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","2.4","0","-1.9","10.0","0","-5.5","0","1.2","0","12.0","73.2","0","45.0","0.0","9","","",NA,"484.7","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"1.0","26",NA,"56.0","26",NA,"","5","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","2.2","0",NA,"9.9","0","-5.6","0","",,NA,"47.9","0",NA,"","6","",,NA,"491.0","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","4.6","2",NA,"11.3","1","-1.6","1","",,NA,"35.0","9",NA,"","7","",,NA,"389.8","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","1.2","0","-2.3","10.5","0","-8.5","0","12.0","0","59.0","88.8","0","41.0","0.0","9","","",NA,"522.1","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","4.7","0",NA,"13.1","0","-1.5","0","",,NA,"67.4","9",NA,"","7","",,NA,"413.1","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","3.4","0",NA,"12.1","0","-5.0","0","",,NA,"29.8","0",NA,"","6","",,NA,"453.6","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"1.0","26",NA,"53.4","26",NA,"","5","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","3.9","0",NA,"12.2","0","-3.2","0","",,NA,"23.2","11",NA,"","6","",,NA,"438.0","0.0","1018611"
"VICTORIA HIGHLANDS NORTH","48.538","-123.501","BC","1.1","7",NA,"9.0","5","-7.0","6","6.0","5",NA,"76.0","5",NA,"","9","","",NA,"405.2","0.0","1018618"
"VICTORIA INTL A","48.647","-123.426","BC","2.5","0",NA,"10.8","0","-6.4","0","1.0","0",NA,"51.7","0",NA,"","7","",,NA,"479.9","0.0","1018621"
"WILLIAM HEAD","48.340","-123.539","BC","5.1","0","-0.6","10.5","0","-1.0","0","0.0","0","0.0","46.6","0","30.0","0.0","6","","",NA,"400.7","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","4.4","0",NA,"10.7","0","-2.4","0","",,NA,"29.2","9",NA,"","6","",,NA,"421.2","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","0.7","0","-1.7","9.5","0","-13.0","0","15.8","0","68.0","84.6","0","39.0","0.0","11","","",NA,"537.5","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","3.7","0","-0.4","11.0","0","-5.0","0","11.6","0","84.0","70.2","0","31.0","0.0","11","","",NA,"443.1","0.0","1021330"
"CHROME ISLAND","49.472","-124.683","BC","4.4","0",NA,"12.0","0","-3.0","0","2.0","0",NA,"112.2","0",NA,"0.0","9","","",NA,"422.7","0.0","1021500"
"COMOX A","49.717","-124.900","BC","2.9","0","-1.0","11.5","0","-7.4","0","4.0","0","34.0","61.8","0","36.0","","8","",,NA,"467.6","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","2.3","9",NA,"11.5","9","-8.0","9","2.0","4",NA,"46.8","4",NA,"0.0","8","","",NA,"346.0","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","2.0","7",NA,"9.5","7","-7.0","7","4.0","7",NA,"69.0","7",NA,"0.0","9","","",NA,"383.3","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","1.1","5",NA,"9.5","2","-10.0","3","7.0","2",NA,"103.6","2",NA,"0.0","11","","",NA,"439.9","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","4.5","0",NA,"10.7","0","-1.7","0","",,NA,"36.0","6",NA,"","8","",,NA,"417.4","0.0","1022689"
