"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","3.0","0",NA,"8.0","0","-3.5","0","34.0","0",NA,"175.4","0",NA,"1.0","10","","",NA,"463.6","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","1.1","0","-1.8","11.0","0","-8.5","0","18.8","0","95.0","135.6","0","40.0","6.0","12","","",NA,"523.7","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","1.7","17","-0.9","10.5","13","-8.0","12","23.4","27",NA,"119.6","19",NA,"","8","","",NA,"228.9","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"10.0","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","4.9","0",NA,"10.8","0","-0.6","0","",,NA,"105.8","3",NA,"","8","",,NA,"404.7","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","4.7","11",NA,"9.0","11","0.5","11","5.0","11",NA,"98.2","11",NA,"0.0","7","","",NA,"266.4","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","2.5","0",NA,"9.1","0","-5.1","0","",,NA,"70.8","15",NA,"","7","",,NA,"479.6","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"29.0","5",NA,"109.0","5",NA,"","9","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"15.8","0","167.0","139.6","0","79.0","0.0","12","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","2.4","0",NA,"11.0","0","-7.9","0","",,NA,"47.2","13",NA,"0.0","5","",,NA,"482.7","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","3.8","3",NA,"9.5","3","-2.5","3","3.0","3",NA,"115.0","3",NA,"0.0","11","","",NA,"396.4","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","5.8","0",NA,"12.1","0","-0.1","0","",,NA,"",,NA,"","","",,NA,"379.3","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","3.6","10","-0.8","10.5","6","-3.0","6","4.0","6",NA,"120.2","6",NA,"0.0","11","","",NA,"301.8","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","3.4","2","-0.8","8.0","2","-3.0","2","7.8","2",NA,"108.2","2",NA,"0.0","9","","",NA,"424.6","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"5.6","23",NA,"89.2","23",NA,"0.0","8","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","2.9","0",NA,"8.3","0","-2.4","0","",,NA,"151.8","0",NA,"0.0","11","",,NA,"466.9","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","4.5","0",NA,"9.4","0","0.3","0","",,NA,"112.0","2",NA,"","9","",,NA,"417.1","0.0","1017101"
