"Environment and Climate Change Canada"
"Monthly Values for February - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","7.2","0",NA,"14.0","0","1.0","0","0.0","0",NA,"170.8","0",NA,"0.0","14","","",NA,"313.9","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","5.8","13","1.8","16.5","9","-1.5","9","0.0","10",NA,"336.0","9",NA,"0.0","16","","",NA,"195.0","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"13.3","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","6.3","1","1.9","14.5","1","-0.5","1","0.0","1",NA,"222.8","1",NA,"0.0","17","","",NA,"328.0","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","8.0","0",NA,"13.4","0","1.6","0","",,NA,"139.0","0",NA,"","15","",,NA,"291.3","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","7.8","5",NA,"14.0","5","2.5","5","0.0","5",NA,"139.6","5",NA,"0.0","17","","",NA,"244.9","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","5.7","0",NA,"11.6","0","0.5","0","",,NA,"175.6","0",NA,"","18","",,NA,"356.0","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","183.2","0","170.0","0.0","17","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","177.3","0","141.0","0.0","19","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","6.5","0",NA,"15.9","0","-1.1","0","",,NA,"135.7","0",NA,"","15","",,NA,"332.7","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","7.7","0",NA,"14.0","0","1.5","0","0.0","0",NA,"121.2","0",NA,"0.0","15","","",NA,"298.6","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","8.6","0",NA,"14.4","0","4.4","0","",,NA,"",,NA,"","","",,NA,"272.2","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","7.5","1","2.2","13.5","0","2.0","1","0.0","0","0.0","144.8","0","162.0","0.0","18","","",NA,"295.3","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","7.0","7","2.0","12.0","7","1.5","7","0.0","7",NA,"94.6","7",NA,"0.0","12","","",NA,"241.0","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","16",NA,"127.8","16",NA,"","13","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","6.9","1",NA,"12.9","1","1.0","0","",,NA,"101.2","1",NA,"","12","",,NA,"310.4","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","8.3","1",NA,"13.7","1","3.8","0","",,NA,"108.4","1",NA,"","13","",,NA,"270.5","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","6.1","0","2.1","14.5","0","-0.5","0","0.0","0","0.0","191.2","0","142.0","0.0","19","","",NA,"343.8","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","8.5","0",NA,"14.0","0","4.3","0","",,NA,"183.0","0",NA,"","19","",,NA,"275.9","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","7.6","0",NA,"14.1","0","0.2","0","",,NA,"115.5","0",NA,"","14","",,NA,"302.2","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","18",NA,"155.2","18",NA,"","11","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","8.0","0",NA,"14.0","0","3.0","0","",,NA,"106.0","7",NA,"","11","",,NA,"288.6","0.0","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","6.9","0",NA,"14.0","0","-0.1","0","0.0","0",NA,"116.4","1",NA,"","15","",,NA,"321.8","0.0","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","7.4","0",NA,"13.4","0","3.7","0","",,NA,"80.4","0",NA,"","15","",,NA,"307.0","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","4.5","0","1.3","11.6","0","-4.1","0","0.0","0","0.0","185.4","0","124.0","0.0","21","","",NA,"391.1","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","6.5","0","1.9","12.5","0","1.0","0","0.0","0","0.0","194.9","0","138.0","0.0","20","","",NA,"334.0","0.0","1021330"
"CHATHAM POINT","50.333","-125.446","BC","6.3","8","1.7","11.0","8","1.5","8","0.0","8",NA,"180.8","8",NA,"","15","","",NA,"246.2","0.0","1021480"
"CHROME ISLAND","49.472","-124.683","BC","7.3","0",NA,"13.0","0","0.0","0","0.0","0",NA,"224.6","0",NA,"0.0","20","","",NA,"311.2","0.0","1021500"
"COMOX A","49.717","-124.900","BC","5.8","0","1.5","13.4","0","-0.8","0","0.0","0","0.0","168.7","0","148.0","","17","",,NA,"354.0","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","6.0","3",NA,"15.0","3","-1.5","3","0.0","3",NA,"163.4","3",NA,"0.0","18","","",NA,"312.8","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","5.6","6",NA,"10.5","6","-0.5","6","0.0","6",NA,"222.6","6",NA,"0.0","17","","",NA,"286.1","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","5.1","4",NA,"14.0","2","-2.0","2","0.0","1",NA,"225.4","1",NA,"0.0","19","","",NA,"321.9","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","7.6","0",NA,"13.3","0","3.7","0","",,NA,"79.2","0",NA,"","13","",,NA,"301.9","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","7.1","0",NA,"12.9","0","2.8","0","",,NA,"209.0","0",NA,"","17","",,NA,"314.7","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","6.1","0",NA,"10.5","0","-0.5","0","0.0","0",NA,"184.2","0",NA,"0.0","20","","",NA,"346.0","0.0","1023462"
"NANAIMO A","49.054","-123.870","BC","5.8","2","1.5","13.7","2","-2.4","2","0.0","2",NA,"153.6","2",NA,"0.0","15","","",NA,"330.3","0.0","1025370"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0","0.0","159.0","0","138.0","0.0","18","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","6.1","0",NA,"13.1","0","-1.2","0","0.0","0",NA,"147.4","0",NA,"","21","",,NA,"345.3","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","5.6","0",NA,"12.6","0","-1.2","0","",,NA,"98.9","0",NA,"","13","",,NA,"358.5","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","6.3","5","2.1","13.5","5","0.0","5","0.0","5",NA,"175.4","5",NA,"","18","","",NA,"281.8","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","5.2","2","1.5","12.0","2","-2.5","2","0.0","2",NA,"211.8","2",NA,"0.0","21","","",NA,"345.6","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","8.0","0",NA,"13.0","0","4.6","0","",,NA,"",,NA,"","","",,NA,"291.1","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","6.9","0",NA,"13.0","0","2.0","0","0.0","0",NA,"125.2","0",NA,"0.0","18","","",NA,"320.8","0.0","102BFHH"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","5.6","3","2.5","14.5","3","-1.0","3","0.0","3",NA,"231.2","3",NA,"0.0","18","","",NA,"323.3","0.0","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","8.5","1","2.4","14.5","1","2.5","1","0.0","1",NA,"379.8","1",NA,"","17","","",NA,"265.9","0.0","1031316"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"2.0","0","21.0","368.0","0","120.0","0.0","20","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"0.0","7",NA,"329.4","7",NA,"","17","","",NA,"","","1031844"
"ESTEVAN POINT","49.383","-126.543","BC","8.0","0","2.1","15.5","0","1.0","0","1.0","0","28.0","450.0","0","143.0","0.0","23","","",NA,"289.2","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","7.7","0",NA,"15.1","0","0.8","0","",,NA,"295.2","1",NA,"","21","",,NA,"298.0","0.0","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","5.6","3","2.3","14.5","3","-1.0","3","0.0","3",NA,"280.8","3",NA,"0.0","19","","",NA,"323.4","0.0","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","8.4","0",NA,"17.0","0","1.5","0","0.0","0","0.0","431.0","0","136.0","0.0","18","","",NA,"279.6","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","7.2","1","2.4","17.0","1","0.0","1","0.0","1",NA,"535.3","1",NA,"0.0","21","","",NA,"302.9","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","7.9","0","2.1","16.5","0","1.0","0","0.0","0","0.0","337.0","0","104.0","0.0","20","","",NA,"291.8","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","8.3","0","2.3","14.5","0","0.5","0","0.0","0","0.0","367.2","0","124.0","0.0","21","","",NA,"280.5","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","6.9","23","3.1","13.0","23","3.5","23","0.0","23",NA,"115.0","23",NA,"0.0","6","","",NA,"66.7","0.0","1036208"
"QUATSINO","50.534","-127.653","BC","6.6","7","1.7","15.0","7","-0.5","7","0.0","7",NA,"141.5","7",NA,"","15","","",NA,"249.9","0.0","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","8.5","0","2.3","19.0","0","3.0","0","0.2","0","5.0","282.2","0","126.0","0.0","22","","",NA,"275.8","0.0","1036572"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","5.1","1",NA,"14.5","1","-1.0","0","",,NA,"216.2","10",NA,"","15","",,NA,"362.3","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","7.5","2",NA,"10.9","2","4.4","1","",,NA,"197.0","3",NA,"","20","",,NA,"282.2","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","7.7","2",NA,"14.1","2","3.5","1","",,NA,"242.6","2",NA,"","21","",,NA,"277.6","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","6.5","9",NA,"15.0","9","-1.0","9","0.0","9",NA,"309.0","9",NA,"0.0","16","","",NA,"229.4","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","7.5","2","2.1","18.6","2","-1.5","2","0.0","2",NA,"401.8","2",NA,"0.0","17","","",NA,"283.2","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","8.0","0","2.5","19.5","0","-1.0","0","0.0","0","0.0","512.3","0","145.0","0.0","22","","",NA,"289.3","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","6.6","0",NA,"15.5","0","-0.5","0","0.0","0",NA,"424.4","0",NA,"0.0","22","","",NA,"330.9","0.0","1039035"
"GIBSONS GOWER POINT","49.386","-123.541","BC","7.5","0","2.3","14.0","0","2.0","0","0.0","0","0.0","161.4","0","130.0","0.0","20","","",NA,"304.2","0.0","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","7.6","0","2.0","12.0","0","3.0","0","0.0","0","0.0","108.1","0","117.0","0.0","18","","",NA,"300.8","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","7.6","0",NA,"12.8","0","3.0","0","",,NA,"122.4","0",NA,"","14","",,NA,"300.9","0.0","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"121.5","0",NA,"0.0","19","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","6.7","5",NA,"13.2","5","0.9","4","",,NA,"358.3","5",NA,"","17","",,NA,"270.2","0.0","1046332"
"POWELL RIVER A","49.834","-124.500","BC","5.8","0","1.9","13.0","0","-3.0","0","0.0","0","0.0","171.8","0","157.0","0.0","21","","",NA,"353.1","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","5.7","0",NA,"12.6","0","-2.0","0","",,NA,"148.0","0",NA,"","18","",,NA,"357.4","0.0","1046392"
