"Environment and Climate Change Canada"
"Monthly Values for March - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.934","-123.741","BC","7.5","0",NA,"14.5","0","-2.5","0","2.0","0",NA,"137.8","0",NA,"0.0","13","","",NA,"326.1","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","6.4","9","0.5","16.0","9","-2.5","9","0.0","0","0.0","284.5","0","127.0","0.0","21","","",NA,"256.1","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","6.3","13","0.1","17.0","13","-3.5","8","4.6","29",NA,"114.4","21",NA,"","10","","",NA,"211.0","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","",,NA,"",,"3.5","0","",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","6.5","0","0.2","15.0","0","-3.5","0","4.0","0","42.0","160.8","0","119.0","0.0","13","","",NA,"355.7","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","7.2","0",NA,"14.2","0","-0.7","0","",,NA,"0.0","0",NA,"","0","",,NA,"334.6","0.0","1012710"
"GALIANO NORTH","48.985","-123.574","BC","7.9","2",NA,"14.5","2","0.5","2","0.0","2",NA,"101.2","2",NA,"","15","","",NA,"291.5","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","6.0","0",NA,"12.7","0","-1.2","0","",,NA,"",,NA,"","","",,NA,"373.4","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","95.2","0","107.0","0.0","14","","",NA,"","","1015105"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","12",NA,"52.7","12",NA,"0.0","10","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","5.3","0",NA,"14.8","0","-5.4","0","",,NA,"157.1","2",NA,"","10","",,NA,"392.5","0.0","1015630"
"NORTH PENDER ISLAND","48.813","-123.317","BC","7.9","0",NA,"14.5","0","-0.5","0","0.4","0",NA,"99.6","0",NA,"0.0","15","","",NA,"311.9","0.0","1015638"
"PORT RENFREW","48.591","-124.326","BC","6.8","0","0.5","15.0","0","-1.5","0","0.0","0","0.0","351.0","0","97.0","0.0","22","","",NA,"348.4","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","7.1","0","0.0","14.0","0","-2.0","0","0.0","0","0.0","76.6","0","97.0","0.0","14","","",NA,"337.0","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","7.6","0","0.6","14.0","0","-1.0","0","0.5","0","21.0","105.4","0","119.0","0.0","13","","",NA,"322.4","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","24",NA,"63.6","24",NA,"","7","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.772","-123.114","BC","7.2","0",NA,"14.7","0","-0.8","0","",,NA,"77.2","0",NA,"","14","",,NA,"335.6","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","8.1","0",NA,"14.7","0","2.4","0","",,NA,"57.8","0",NA,"","14","",,NA,"307.8","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","6.3","0","0.3","14.5","0","-2.5","0","8.0","0","119.0","118.2","0","99.0","0.0","14","","",NA,"361.5","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","8.3","0",NA,"14.8","0","2.7","0","",,NA,"4.2","0",NA,"","1","",,NA,"301.1","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","8.3","0",NA,"16.3","0","-1.7","0","",,NA,"73.4","0",NA,"","13","",,NA,"300.9","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"3.6","24",NA,"62.9","24",NA,"","6","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","8.1","0",NA,"15.2","0","1.7","0","",,NA,"69.0","0",NA,"","12","",,NA,"305.9","0.0","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","5.7","0","0.2","13.5","0","-3.0","0","6.0","0","114.0","95.0","0","99.0","0.0","14","","",NA,"380.0","0.0","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","7.1","0","0.3","14.6","0","-3.0","0","2.0","0","58.0","73.4","0","94.0","0.0","13","162.5","0","112.0","337.6","0.0","1018620"
"WILLIAM HEAD","48.340","-123.539","BC","8.3","0","0.8","16.0","0","1.0","0","0.0","0","0.0","77.6","0","97.0","0.0","13","","",NA,"300.9","0.0","1018935"
"VICTORIA HARTLAND CS","48.534","-123.459","BC","7.1","0",NA,"14.0","0","-1.5","0","",,NA,"93.8","0",NA,"","14","",,NA,"339.0","0.0","1018FJ5"
"BALLENAS ISLAND","49.350","-124.160","BC","7.9","0",NA,"13.8","0","0.8","0","",,NA,"61.8","0",NA,"","9","",,NA,"314.4","0.0","1020590"
"BLACK CREEK SE","49.803","-125.095","BC","6.1","7",NA,"13.0","7","-1.0","7","0.0","7",NA,"93.8","7",NA,"0.0","10","","",NA,"284.9","0.0","1020881"
"CAMPBELL RIVER A","49.951","-125.271","BC","5.9","0","0.7","13.7","0","-3.2","0","24.8","0","212.0","146.4","0","105.0","0.0","17","","",NA,"374.4","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","7.0","0","0.7","13.5","0","0.0","0","0.0","0","0.0","160.8","0","117.0","0.0","19","","",NA,"340.8","0.0","1021330"
"CHATHAM POINT","50.333","-125.433","BC","6.9","0","0.6","12.0","0","1.0","0","2.0","0","50.0","218.3","0","102.0","0.0","23","","",NA,"344.5","0.0","1021480"
"COMOX A","49.717","-124.900","BC","6.6","0","0.5","13.4","0","-1.9","0","3.6","0","37.0","125.2","0","119.0","0.0","13","121.0","0","97.0","354.5","0.0","1021830"
"COOMBS","49.306","-124.429","BC","6.4","13","1.0","13.5","13","-3.0","13","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"208.8","0.0","1021850"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","6.9","0",NA,"15.0","0","-1.5","0","0.0","0",NA,"90.1","0",NA,"0.0","17","","",NA,"343.7","0.0","1021960"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","6.2","6",NA,"15.0","6","-2.5","3","0.0","6",NA,"118.3","6",NA,"0.0","11","","",NA,"295.6","0.0","1021989"
"DUNCAN GLENORA","48.756","-123.765","BC","6.7","0",NA,"15.5","0","-2.0","0","1.0","0",NA,"165.7","0",NA,"0.0","17","","",NA,"351.3","0.0","1022571"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","7.8","0",NA,"13.3","0","1.5","0","",,NA,"0.0","0",NA,"","0","",,NA,"315.8","0.0","1022689"
"FANNY ISLAND","50.453","-125.992","BC","7.1","0",NA,"13.2","0","1.0","0","",,NA,"127.8","0",NA,"","18","",,NA,"338.9","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","7.0","7",NA,"12.5","7","0.0","7","0.0","7",NA,"93.4","7",NA,"0.0","14","","",NA,"263.1","0.0","1023462"
"MT WASHINGTON","49.747","-125.287","BC","-2.3","8",NA,"4.3","8","-9.8","7","",,NA,"118.5","12",NA,"","8","",,NA,"467.4","0.0","1025230"
