"Environment and Climate Change Canada"
"Monthly Values for April - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","9.9","0",NA,"20.0","0","2.5","0","0.0","0",NA,"45.1","0",NA,"0.0","9","","",NA,"244.2","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","8.7","14","0.2","24.5","10","-1.0","10","0.0","10",NA,"69.8","10",NA,"0.0","10","","",NA,"148.6","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"17.2","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","10.0","14","0.8","21.5","14","1.0","14","0.0","14",NA,"15.6","14",NA,"0.0","3","","",NA,"128.6","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","9.5","0",NA,"17.8","0","3.3","0","",,NA,"16.8","3",NA,"","4","",,NA,"255.2","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","10.0","6",NA,"20.0","6","3.5","6","0.0","6",NA,"31.2","6",NA,"0.0","9","","",NA,"191.1","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","8.2","0",NA,"19.0","0","1.4","0","",,NA,"3.6","18",NA,"","1","",,NA,"293.6","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"42.0","0","70.0","0.0","7","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","41.4","0","60.0","0.0","9","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","8.9","0",NA,"22.5","0","-0.7","0","",,NA,"31.9","0",NA,"","9","",,NA,"273.2","0.0","1015630"
