"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","13.8","0",NA,"28.0","0","4.0","0","0.0","0",NA,"55.1","0",NA,"0.0","9","","",NA,"139.2","7.6","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","11.9","20","-0.1","31.0","13","0.5","14","0.0","30",NA,"56.4","20",NA,"","9","","",NA,"66.7","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"22.6","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","12.3","0",NA,"21.2","0","5.6","0","",,NA,"20.4","0",NA,"","6","",,NA,"177.7","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","13.1","2",NA,"25.5","2","5.0","2","0.0","2",NA,"57.9","2",NA,"0.0","9","","",NA,"142.4","0.5","10130MN"
"MALAHAT","48.575","-123.530","BC","12.2","0",NA,"25.3","0","2.5","0","",,NA,"44.0","1",NA,"","9","",,NA,"187.3","7.4","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","7",NA,"33.0","7",NA,"0.0","8","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"49.8","0","99.0","0.0","9","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","13.1","0",NA,"29.5","0","1.2","0","",,NA,"47.9","0",NA,"","11","",,NA,"158.4","5.8","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","14.0","4",NA,"29.0","4","4.5","4","0.0","4",NA,"28.6","4",NA,"0.0","7","","",NA,"116.0","7.4","1015638"
"RACE ROCKS","48.298","-123.531","BC","11.7","0",NA,"25.9","0","6.9","0","",,NA,"",,NA,"","","",,NA,"195.9","0.5","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","12.7","4","0.5","24.5","2","4.0","2","0.0","2",NA,"60.6","2",NA,"0.0","8","","",NA,"143.4","0.6","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","13.8","1","0.9","28.0","1","4.5","1","0.0","1",NA,"50.8","1",NA,"0.0","8","","",NA,"134.4","7.9","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","27",NA,"37.2","27",NA,"","4","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","12.3","0",NA,"26.6","0","3.4","0","",,NA,"44.4","0",NA,"","6","",,NA,"180.9","5.3","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","12.8","0",NA,"22.5","0","6.4","0","",,NA,"45.4","0",NA,"","8","",,NA,"161.3","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","12.9","0","0.7","27.0","0","3.0","0","0.0","0",NA,"42.2","0","83.0","0.0","11","","",NA,"162.7","4.1","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","10.7","0",NA,"21.8","0","5.3","0","",,NA,"38.0","0",NA,"","10","",,NA,"226.2","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","12.4","0",NA,"26.0","0","3.8","0","",,NA,"25.5","0",NA,"","8","",,NA,"173.8","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","26",NA,"18.0","26",NA,"","4","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","12.4","1",NA,"26.4","1","5.8","0","",,NA,"26.2","1",NA,"","7","",,NA,"169.0","1.5","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","11.9","2",NA,"24.6","0","2.5","2","0.0","0",NA,"48.4","0",NA,"","9","",,NA,"177.8","0.0","1018621"
"WILLIAM HEAD","48.340","-123.539","BC","13.8","0","1.7","24.0","0","7.0","0","0.0","0",NA,"26.0","0","69.0","0.0","8","","",NA,"131.1","1.3","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","13.2","0",NA,"23.9","0","5.7","0","",,NA,"29.0","0",NA,"","7","",,NA,"150.5","1.7","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","12.1","0","0.5","27.5","0","-1.5","0","0.0","0",NA,"89.5","0","131.0","0.0","12","","",NA,"184.3","0.3","1021261"
"CAPE MUDGE","49.998","-125.195","BC","13.2","0","1.1","28.0","0","3.5","0","0.0","0",NA,"75.8","0","108.0","0.0","10","","",NA,"149.4","0.8","1021330"
"CHROME ISLAND","49.472","-124.683","BC","13.1","0",NA,"24.0","0","4.5","0","0.0","0",NA,"28.0","0",NA,"0.0","7","","",NA,"151.1","0.0","1021500"
"COMOX A","49.717","-124.900","BC","12.9","0","0.6","25.5","0","2.6","0","0.0","0",NA,"49.4","0","108.0","","10","",,NA,"158.8","1.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","13.4","0",NA,"28.0","0","2.0","0","0.0","0",NA,"104.2","0",NA,"0.0","11","","",NA,"144.7","1.4","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","13.7","4",NA,"28.0","4","2.5","4","0.0","4",NA,"57.8","4",NA,"0.0","8","","",NA,"123.5","6.8","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","12.7","6",NA,"27.5","3","1.0","3","0.0","3",NA,"48.5","3",NA,"0.0","9","","",NA,"133.2","0.6","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","12.9","0",NA,"22.4","0","5.3","0","",,NA,"56.8","0",NA,"","8","",,NA,"157.3","0.2","1022689"
"FANNY ISLAND","50.454","-125.993","BC","11.2","0",NA,"24.6","0","4.5","0","",,NA,"137.8","0",NA,"","14","",,NA,"210.0","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","13.3","5",NA,"25.5","5","3.0","5","0.0","5",NA,"105.8","5",NA,"0.0","10","","",NA,"124.2","1.3","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","12.3","0","0.8","28.5","0","0.0","0","0.0","0",NA,"28.2","0","57.0","0.0","10","","",NA,"177.6","0.3","1024638"
"NANAIMO A","49.054","-123.870","BC","13.2","2",NA,"29.0","2","2.0","2","0.0","2",NA,"43.2","2",NA,"0.0","8","","",NA,"143.3","3.6","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"43.1","0","82.0","0.0","10","","",NA,"","","10253G0"
"PINE ISLAND","50.976","-127.728","BC","10.4","4","0.0","17.5","4","6.0","4","0.0","4",NA,"117.8","4",NA,"0.0","16","","",NA,"206.1","0.0","1026170"
"PORT HARDY A","50.681","-127.367","BC","10.0","0",NA,"20.2","0","0.8","0","0.0","0",NA,"117.6","0",NA,"","19","",,NA,"247.8","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","12.5","0",NA,"27.3","0","0.9","0","",,NA,"30.1","0",NA,"","7","",,NA,"171.2","1.1","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","13.0","3","1.0","25.0","3","2.0","3","0.0","3",NA,"25.4","3",NA,"0.0","7","","",NA,"141.3","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","13.2","4","1.3","31.5","4","1.5","4","0.0","4",NA,"84.4","4",NA,"0.0","9","","",NA,"132.6","3.1","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","13.3","0",NA,"24.9","0","5.4","0","",,NA,"",,NA,"","","",,NA,"148.4","4.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","12.1","0",NA,"22.0","0","0.0","0","0.0","0",NA,"79.2","0",NA,"0.0","8","","",NA,"182.7","0.5","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","11.1","0","0.3","18.5","0","5.0","0","0.0","0",NA,"188.6","0","137.0","0.0","12","","",NA,"213.9","0.0","1031316"
"ESTEVAN POINT","49.383","-126.543","BC","11.2","1","0.6","20.5","1","4.5","1","0.0","1",NA,"179.4","1",NA,"0.0","10","","",NA,"202.7","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","10.8","0",NA,"19.6","0","4.2","0","",,NA,"159.7","0",NA,"","11","",,NA,"223.1","0.0","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","10.8","0",NA,"19.0","0","5.0","0","0.0","0",NA,"187.6","0","123.0","0.0","11","","",NA,"222.1","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","12.5","0","0.9","27.0","0","2.0","0","0.0","0",NA,"111.5","0","69.0","0.0","13","","",NA,"170.6","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","11.6","2","0.1","21.5","2","5.5","2","0.0","2",NA,"149.8","2",NA,"","11","","",NA,"185.5","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","10.9","1","0.3","22.0","1","3.0","1","0.0","1",NA,"166.6","1",NA,"0.0","11","","",NA,"213.0","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","13.3","30","1.5","16.0","30","10.5","30","0.0","30",NA,"0.0","30",NA,"","0","","",NA,"4.7","0.0","1036208"
"QUATSINO","50.534","-127.653","BC","10.9","2","0.0","21.0","2","4.0","2","0.0","2",NA,"88.8","2",NA,"0.0","15","","",NA,"206.3","0.0","1036570"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","13.8","11",NA,"30.6","11","0.6","9","",,NA,"33.8","11",NA,"","5","",,NA,"88.2","3.9","1036B06"
