"Environment and Climate Change Canada"
"Monthly Values for June - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","15.2","0",NA,"24.5","0","7.5","0","0.0","0",NA,"36.8","0",NA,"0.0","7","","",NA,"86.9","3.8","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","14.3","9","-0.5","26.0","9","5.0","9","0.0","0",NA,"49.7","0","86.0","0.0","8","","",NA,"78.6","1.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","13.3","7","-1.7","27.0","7","2.0","4","0.0","7",NA,"70.0","7",NA,"0.0","5","","",NA,"110.9","1.8","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","",,NA,"",,"9.3","0","",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","13.9","0","-1.3","24.5","0","5.5","0","0.0","0",NA,"25.2","0","69.0","0.0","6","","",NA,"122.8","0.5","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","12.6","0",NA,"18.8","0","8.3","0","",,NA,"26.6","0",NA,"","7","",,NA,"160.9","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","14.1","7",NA,"24.0","7","7.0","7","0.0","7",NA,"28.2","7",NA,"0.0","9","","",NA,"89.5","0.6","1013051"
"GALIANO NORTH","48.985","-123.574","BC","14.8","6",NA,"22.5","6","7.5","6","0.0","6",NA,"28.4","6",NA,"0.0","5","","",NA,"78.6","1.0","10130MN"
"MALAHAT","48.575","-123.530","BC","13.2","0",NA,"22.6","0","5.8","0","",,NA,"",,NA,"","","",,NA,"143.2","0.4","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"19.1","0","68.0","0.0","5","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","12",NA,"26.8","12",NA,"0.0","5","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","14.9","12",NA,"25.1","10","4.6","6","",,NA,"16.3","20",NA,"","3","",,NA,"59.5","3.1","1015630"
