"Environment and Climate Change Canada"
"Monthly Values for July - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","19.0","0",NA,"32.5","0","10.0","0","0.0","0",NA,"1.0","0",NA,"0.0","1","","",NA,"18.3","50.6","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","18.6","9","0.9","32.5","9","8.5","9","0.0","0",NA,"1.0","0","3.0","0.0","1","","",NA,"21.4","34.2","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","19.5","17","1.7","36.0","17","6.5","11","0.0","17",NA,"0.0","17",NA,"","0","","",NA,"5.7","26.7","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","13.6","21",NA,"20.5","21","9.1","1","",,NA,"",,NA,"","","",,NA,"43.8","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","17.6","0","-0.3","33.5","0","8.0","0","0.0","0",NA,"1.0","0","4.0","0.0","0","","",NA,"39.3","27.3","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","14.6","0",NA,"23.4","0","9.5","0","",,NA,"0.6","0",NA,"","0","",,NA,"104.4","0.5","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","18.0","10",NA,"36.5","10","8.0","10","0.0","27",NA,"0.0","27",NA,"","0","","",NA,"23.8","24.7","1013051"
"GALIANO NORTH","48.985","-123.574","BC","17.9","3",NA,"31.0","3","9.5","3","0.0","3",NA,"0.4","3",NA,"0.0","0","","",NA,"24.9","20.9","10130MN"
"MALAHAT","48.575","-123.530","BC","18.0","0",NA,"30.4","0","8.2","0","",,NA,"",,NA,"","","",,NA,"43.0","41.8","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"0.6","0","4.0","0.0","0","","",NA,"","","1015105"
