"Environment and Climate Change Canada"
"Monthly Values for August - 2012"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","19.2","0",NA,"30.5","0","11.0","0","0.0","0",NA,"2.7","0",NA,"0.0","1","","",NA,"17.1","53.6","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","17.8","9","-0.4","34.0","9","7.7","9","0.0","9",NA,"4.7","9",NA,"0.0","2","","",NA,"28.2","23.7","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","18.1","14","0.0","36.0","10","7.0","9","0.0","10",NA,"0.4","10",NA,"0.0","0","","",NA,"18.4","19.7","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","15.3","0",NA,"26.4","0","10.2","0","",,NA,"",,NA,"","","",,NA,"88.4","6.1","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","18.7","0","0.9","33.0","0","7.5","0","0.0","0",NA,"0.8","0","2.0","0.0","0","","",NA,"25.8","46.6","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","15.8","0",NA,"26.8","0","9.8","0","",,NA,"1.2","0",NA,"","0","",,NA,"71.8","2.6","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","18.5","0",NA,"32.0","0","8.5","0","0.0","0",NA,"1.6","0",NA,"0.0","0","","",NA,"22.8","37.7","1013051"
"GALIANO NORTH","48.985","-123.573","BC","18.4","5",NA,"30.0","5","11.0","5","0.0","5",NA,"7.8","5",NA,"0.0","2","","",NA,"14.1","24.9","10130MN"
"MALAHAT","48.575","-123.530","BC","19.3","0",NA,"31.8","0","9.5","0","",,NA,"",,NA,"","","",,NA,"23.0","62.4","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"0.6","0","2.0","0.0","0","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","26",NA,"2.6","26",NA,"","1","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","18.9","0",NA,"34.0","0","7.4","0","",,NA,"2.4","0",NA,"","1","",,NA,"23.6","51.2","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","18.8","0",NA,"32.0","0","10.0","0","0.0","0",NA,"7.4","0",NA,"0.0","1","","",NA,"21.6","47.7","1015638"
"PORT RENFREW","48.591","-124.326","BC","15.8","0","0.2","31.0","0","6.0","0","0.0","0",NA,"11.0","0","13.0","0.0","2","","",NA,"78.4","9.3","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","17.3","0","0.2","30.0","0","9.0","0","0.0","0",NA,"2.2","0","8.0","0.0","1","","",NA,"42.6","21.4","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","19.5","6","1.2","30.0","6","12.5","6","0.0","6",NA,"5.2","6",NA,"","1","","",NA,"4.5","42.7","1016995"
"SATURNA CAPMON","48.775","-123.128","BC","18.1","0","0.8","30.5","0","10.0","0","0.0","0",NA,"0.6","0","2.0","0.0","0","","",NA,"36.4","40.3","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","18.1","2",NA,"30.1","2","9.9","1","",,NA,"0.6","2",NA,"","0","",,NA,"36.1","38.8","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","16.2","0",NA,"26.5","0","9.6","0","",,NA,"0.2","0",NA,"","0","",,NA,"66.2","11.6","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","18.8","0","0.9","32.0","0","8.5","0","0.0","0",NA,"3.4","0","12.0","0.0","1","","",NA,"22.7","46.9","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","13.7","0",NA,"26.4","0","8.5","0","",,NA,"2.2","0",NA,"","1","",,NA,"136.3","1.6","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","17.8","0",NA,"31.3","0","8.0","0","",,NA,"2.4","0",NA,"","1","",,NA,"29.5","22.5","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0",NA,"4.2","0","15.0","0.0","1","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","16.7","2",NA,"31.2","2","9.8","1","",,NA,"1.6","2",NA,"","1","",,NA,"53.6","17.2","1018611"
"VICTORIA INT'L A","48.647","-123.426","BC","17.6","0","0.8","31.4","0","8.4","0","0.0","0",NA,"1.6","0","7.0","0.0","1","319.0","0","107.0","36.1","23.9","1018620"
"WILLIAM HEAD","48.340","-123.539","BC","17.5","0","1.0","29.0","0","9.0","0","0.0","0",NA,"1.0","0","5.0","0.0","1","","",NA,"30.0","14.5","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","18.3","0",NA,"25.8","0","12.6","0","",,NA,"7.0","3",NA,"","2","",,NA,"21.3","32.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","18.4","0","1.2","31.9","0","7.4","0","0.0","0",NA,"6.4","0","14.0","0.0","2","","",NA,"31.3","44.4","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,NA,"",,"",,"0.0","0",NA,"8.4","0","22.0","0.0","3","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","18.8","0","1.7","31.0","0","10.0","0","0.0","0",NA,"8.8","0","19.0","0.0","2","","",NA,"19.2","44.3","1021330"
"CHATHAM POINT","50.333","-125.433","BC","16.6","0","0.6","28.0","0","10.0","0","0.0","0",NA,"12.0","0","14.0","0.0","4","","",NA,"50.9","6.7","1021480"
"COMOX A","49.717","-124.900","BC","18.8","0","0.9","31.2","0","10.2","0","0.0","0",NA,"5.6","0","19.0","0.0","1","294.5","0","110.0","19.4","43.5","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","19.3","1",NA,"31.5","1","7.5","1","0.0","1",NA,"7.0","1",NA,"0.0","1","","",NA,"16.2","54.2","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","19.1","7",NA,"31.0","7","9.0","7","0.0","7",NA,"4.8","7",NA,"0.0","1","","",NA,"12.4","39.7","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","18.9","0",NA,"33.0","0","7.0","0","0.0","0",NA,"4.3","0",NA,"0.0","1","","",NA,"18.7","46.8","1021989"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","20.1","24",NA,"25.4","24","14.5","24","",,NA,"6.2","0",NA,"","2","",,NA,"1.1","15.6","1022689"
"FANNY ISLAND","50.453","-125.992","BC","14.0","0",NA,"30.4","0","9.5","0","",,NA,"6.0","1",NA,"","3","",,NA,"126.4","2.6","1022795"
"GABRIOLA ISLAND","49.154","-123.734","BC","17.7","1","0.8","30.5","0","6.0","1","0.0","0",NA,"4.4","0","17.0","0.0","2","","",NA,"44.3","35.0","1023042"
"HERIOT BAY SE","50.099","-125.203","BC","18.3","0",NA,"30.5","0","9.0","0","0.0","0",NA,"10.2","0",NA,"0.0","3","","",NA,"23.9","34.5","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","17.6","0","1.1","30.4","0","6.1","0","0.0","0",NA,"7.5","0","24.0","0.0","2","","",NA,"36.9","23.1","1024638"
"MUD BAY","49.471","-124.794","BC","18.5","1","1.1","30.0","1","9.0","0","0.0","1",NA,"0.2","1",NA,"0.0","0","","",NA,"22.5","37.0","1025240"
"MYRA CREEK","49.576","-125.606","BC","19.1","0",NA,"35.0","0","7.5","0","0.0","0",NA,"14.4","0",NA,"0.0","4","","",NA,"30.5","64.2","1025254"
"NANAIMO A","49.054","-123.870","BC","18.9","1","0.7","31.8","1","9.3","1","0.0","1",NA,"6.4","1",NA,"","2","","",NA,"20.4","48.1","1025370"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"6.2","0","22.0","0.0","2","","",NA,"","","10253G0"
"PINE ISLAND","50.976","-127.728","BC","13.2","0","-0.2","21.5","0","8.5","0","0.0","0",NA,"74.0","0","82.0","0.0","9","","",NA,"150.2","0.0","1026170"
"PORT HARDY A","50.680","-127.366","BC","14.4","0","0.0","24.7","0","7.2","0","0.0","0",NA,"58.4","0","80.0","0.0","8","",,NA,"110.7","0.0","1026270"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","18.2","0",NA,"30.6","0","7.9","0","",,NA,"2.2","0",NA,"","1","",,NA,"31.4","36.1","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","18.2","0","1.5","30.0","0","8.0","0","0.0","0",NA,"1.8","0","5.0","0.0","1","","",NA,"20.2","26.5","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","17.8","2","0.4","31.5","2","6.5","2","0.0","2",NA,"6.8","2",NA,"0.0","2","","",NA,"33.9","27.3","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","19.0","0",NA,"26.9","0","13.1","0","",,NA,"",,NA,"","","",,NA,"13.1","43.6","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","18.5","1",NA,"26.0","1","12.5","1","0.0","1",NA,"7.6","1",NA,"","3","","",NA,"21.2","35.2","102BFHH"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","19.8","0","1.2","37.0","0","7.0","0","0.0","0",NA,"8.8","0","19.0","0.0","2","","",NA,"17.0","71.9","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","14.7","0","0.7","26.0","0","9.0","0","0.0","0",NA,"27.6","0","37.0","0.0","5","","",NA,"106.2","3.5","1031316"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","0",NA,"7.8","0","9.0","0.0","1","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"0.0","3",NA,"36.7","3",NA,"0.0","7","","",NA,"","","1031844"
"ESTEVAN POINT","49.384","-126.551","BC","15.2","0","0.4","23.5","0","8.5","0","0.0","0",NA,"45.0","0","46.0","0.0","5","","",NA,"89.1","1.1","1032730"
"ESTEVAN POINT CS","49.383","-126.545","BC","14.9","0",NA,"22.7","0","8.7","0","",,NA,"43.0","0",NA,"","5","",,NA,"95.5","0.1","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","19.1","4","1.0","36.5","4","7.0","4","0.0","4",NA,"17.8","4",NA,"0.0","7","","",NA,"22.3","52.3","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","14.6","0",NA,"24.5","0","10.0","0","0.0","0",NA,"33.8","0","40.0","0.0","5","","",NA,"106.7","0.5","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","17.0","0","0.4","33.5","0","6.0","0","0.0","0",NA,"36.2","0","40.0","0.0","4","","",NA,"51.1","20.9","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","16.4","0","0.2","25.5","0","10.0","0","0.0","0",NA,"36.0","0","36.0","0.0","4","","",NA,"59.1","9.6","1035614"
"PACHENA POINT","48.723","-125.097","BC","14.5","0","0.3","25.5","0","7.0","0","0.0","0",NA,"43.4","0","51.0","0.0","6","","",NA,"111.8","1.8","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","18.5","3","0.9","35.5","3","7.0","3","0.0","2",NA,"3.4","2",NA,"0.0","2","","",NA,"28.5","42.1","1036208"
"PORT ALICE","50.386","-127.453","BC","16.7","3","0.3","28.0","3","8.5","3","0.0","3",NA,"31.4","3",NA,"0.0","7","","",NA,"46.8","10.7","1036240"
"QUATSINO","50.533","-127.654","BC","15.9","9","0.1","25.5","9","8.0","9","0.0","9",NA,"13.0","9",NA,"0.0","3","","",NA,"50.0","3.1","1036570"
