"Environment and Climate Change Canada"
"Monthly Values for September - 2014"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","17.3","0",NA,"28.5","0","9.5","0","0.0","0",NA,"59.8","0",NA,"0.0","7","","",NA,"34.6","14.3","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","16.2","0","1.0","31.0","0","4.5","0","0.0","0",NA,"81.4","0","147.0","0.0","8","","",NA,"59.1","4.1","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","15.9","1","0.7","31.5","1","3.0","1","0.0","1",NA,"89.2","1",NA,"0.0","9","","",NA,"65.2","3.8","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"23.3","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","15.9","0","0.8","30.0","0","5.0","0","0.0","0",NA,"49.0","0","155.0","0.0","6","","",NA,"64.8","3.1","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","15.4","1",NA,"24.9","0","8.6","1","",,NA,"32.0","1",NA,"","6","",,NA,"75.8","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","16.8","5",NA,"27.0","5","10.0","5","0.0","5",NA,"48.4","5",NA,"0.0","8","","",NA,"34.4","4.3","10130MN"
"MALAHAT","48.575","-123.530","BC","16.6","0",NA,"27.4","0","10.0","0","",,NA,"66.6","2",NA,"","6","",,NA,"63.2","20.4","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"39.6","0","122.0","0.0","7","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","53.4","0","148.0","0.0","6","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","16.2","0",NA,"29.8","0","3.9","0","",,NA,"47.1","0",NA,"","5","",,NA,"58.4","3.2","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","17.2","0",NA,"30.0","0","9.0","0","0.0","0",NA,"41.0","0",NA,"0.0","6","","",NA,"43.3","20.5","1015638"
"RACE ROCKS","48.298","-123.531","BC","15.0","0",NA,"24.1","0","9.8","0","",,NA,"",,NA,"","","",,NA,"89.7","1.1","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","15.7","1","1.1","26.5","1","8.0","1","0.0","1",NA,"37.7","1",NA,"0.0","6","","",NA,"71.8","4.3","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","17.3","1","1.8","26.0","1","10.0","1","0.0","1",NA,"43.3","1",NA,"0.0","5","","",NA,"32.2","10.7","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","28",NA,"25.4","28",NA,"","2","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","16.4","0","1.3","27.4","0","9.1","0","0.0","0",NA,"51.8","0","175.0","0.0","7","","",NA,"63.3","14.9","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","16.2","2",NA,"27.2","1","9.0","1","",,NA,"52.1","2",NA,"","6","",,NA,"64.1","14.3","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","16.2","0",NA,"23.8","0","10.6","0","",,NA,"39.6","0",NA,"","6","",,NA,"58.3","4.8","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","16.3","0","1.4","29.5","0","5.5","0","0.0","0",NA,"54.6","0","164.0","0.0","6","","",NA,"55.3","3.9","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","14.7","0",NA,"24.7","0","9.2","0","",,NA,"52.8","0",NA,"","7","",,NA,"101.1","1.3","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","15.9","0",NA,"27.0","0","8.3","0","",,NA,"54.0","0",NA,"","7","",,NA,"66.8","4.4","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","27",NA,"35.0","27",NA,"","3","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","16.2","0",NA,"27.8","0","10.2","0","",,NA,"41.8","2",NA,"","6","",,NA,"62.6","8.2","1018611"
"VICTORIA HIGHLANDS NORTH","48.538","-123.501","BC","15.7","20",NA,"27.3","19","7.5","19","0.0","19",NA,"37.5","19",NA,"","5","","",NA,"25.5","2.3","1018618"
"VICTORIA INTL A","48.647","-123.426","BC","15.5","0",NA,"28.0","0","6.1","0","0.0","0",NA,"44.4","0",NA,"","6","",,NA,"76.5","2.0","1018621"
"WILLIAM HEAD","48.340","-123.539","BC","15.5","0","1.5","24.0","0","8.5","0","0.0","0",NA,"36.0","0","115.0","0.0","7","","",NA,"74.5","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","16.2","0",NA,"23.0","0","11.2","0","",,NA,"40.8","0",NA,"","7","",,NA,"56.9","4.1","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","14.9","0","1.2","29.5","0","1.0","0","0.0","0",NA,"71.6","0","130.0","0.0","10","","",NA,"96.4","4.2","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,"","",,"",,"0.0","0",NA,"69.4","0","131.0","0.0","6","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","16.1","0","1.9","26.0","0","8.0","0","0.0","0",NA,"64.0","0","109.0","0.0","9","","",NA,"60.2","3.3","1021330"
